Index,State,Program,Sub-Program,Abbreviation,Target Age Min,Target Age Max,Clearhouse Rating,State Title-IV Spending,Federal Matching,Date Info Was Provided,Project Relevance,Note 1,Note 2,Plan URL
1,Arizona,Healthy Families America,,HFA,0,2,Well-Supported,,,,Low,,,https://dcs.az.gov/file/17275/download?token=gtvYdmOR
2,Arizona,Parents as Teachers,,PAT,0,3,Well-Supported,,,,Low,,,https://dcs.az.gov/file/17275/download?token=gtvYdmOR
3,Arizona,Nurse Family Partnership,,NFP,,,Well-Supported,,,,Low,,,https://dcs.az.gov/file/17275/download?token=gtvYdmOR
4,Arkansas,SafeCare,,SC,0,5,Supported,,,,Low,,,https://humanservices.arkansas.gov/wp-content/uploads/Approved_Arkansas_Five_Year_Title_IV-E_Prevention_Plan_Updated_March_2020.pdf
5,Arkansas,Intercept,,,0,18,Well-Supported,,,,High,"Now known as Intercept, but listed on plan as YVIntercept.",,https://humanservices.arkansas.gov/wp-content/uploads/Approved_Arkansas_Five_Year_Title_IV-E_Prevention_Plan_Updated_March_2020.pdf
6,Arkansas,Family Centered Treatment,,FCT,0,18,Supported,,,,High,,,https://humanservices.arkansas.gov/wp-content/uploads/Approved_Arkansas_Five_Year_Title_IV-E_Prevention_Plan_Updated_March_2020.pdf
7,Arkansas,Homebuilders,,HB,0,18,Well-Supported,,,,Mid,,,https://humanservices.arkansas.gov/wp-content/uploads/Approved_Arkansas_Five_Year_Title_IV-E_Prevention_Plan_Updated_March_2020.pdf
8,Arkansas,Teaching Family Model,,TFM,0,17,Promising,,,,Mid,,,https://humanservices.arkansas.gov/wp-content/uploads/Approved_Arkansas_Five_Year_Title_IV-E_Prevention_Plan_Updated_March_2020.pdf
9,California,Nurse Family Partnership,,NFP,,,Well-Supported,,,,Low,,,https://www.cdss.ca.gov/Portals/9/CCR/FFPSA/CA-FFPSA-FiveYear-Prevention-Planv2.pdf
10,California,Healthy Families America,,HFA,0,2,Well-Supported,,,,Low,,,https://www.cdss.ca.gov/Portals/9/CCR/FFPSA/CA-FFPSA-FiveYear-Prevention-Planv2.pdf
11,California,Parents as Teachers,,PAT,0,3,Well-Supported,,,,Low,,,https://www.cdss.ca.gov/Portals/9/CCR/FFPSA/CA-FFPSA-FiveYear-Prevention-Planv2.pdf
12,California,Parent-Child Interaction Therapy,,PCIT,2,7,Well-Supported,,,,Mid,,,https://www.cdss.ca.gov/Portals/9/CCR/FFPSA/CA-FFPSA-FiveYear-Prevention-Planv2.pdf
13,California,Multisystemic Therapy,,MST,12,18,Well-Supported,,,,High,,,https://www.cdss.ca.gov/Portals/9/CCR/FFPSA/CA-FFPSA-FiveYear-Prevention-Planv2.pdf
14,California,Brief Strategic Family Therapy,,BSFT,6,17,Well-Supported,,,,High,,,https://www.cdss.ca.gov/Portals/9/CCR/FFPSA/CA-FFPSA-FiveYear-Prevention-Planv2.pdf
15,California,Family Check-Up,,FCU,2,17,Well-Supported,,,,Mid,,,https://www.cdss.ca.gov/Portals/9/CCR/FFPSA/CA-FFPSA-FiveYear-Prevention-Planv2.pdf
16,California,Functional Family Therapy,,FFT,11,18,Well-Supported,,,,High,,,https://www.cdss.ca.gov/Portals/9/CCR/FFPSA/CA-FFPSA-FiveYear-Prevention-Planv2.pdf
17,California,Homebuilders,,HB,0,18,Well-Supported,,,,Mid,,,https://www.cdss.ca.gov/Portals/9/CCR/FFPSA/CA-FFPSA-FiveYear-Prevention-Planv2.pdf
18,California,Motivational Interviewing,Substance Use Treatment,MI,,,Well-Supported,,,,Mid,,,https://www.cdss.ca.gov/Portals/9/CCR/FFPSA/CA-FFPSA-FiveYear-Prevention-Planv2.pdf
19,California,Motivational Interviewing,Cross-Cutting Case Management,MI,,,Well-Supported,,,,Mid,,,https://www.cdss.ca.gov/Portals/9/CCR/FFPSA/CA-FFPSA-FiveYear-Prevention-Planv2.pdf
20,Colorado,Functional Family Therapy,,FFT,11,18,Well-Supported,,"$35,000",10/14/25,High,,,https://drive.google.com/file/d/1wIv--VG7w0or76lrJ0ME_8iGXQK0p1li/view
21,Colorado,Healthy Families America,,HFA,0,2,Well-Supported,,,10/14/25,Low,,,https://drive.google.com/file/d/1wIv--VG7w0or76lrJ0ME_8iGXQK0p1li/view
22,Colorado,Multisystemic Therapy,,MST,12,18,Well-Supported,,"$380,000",10/14/25,High,,,https://drive.google.com/file/d/1wIv--VG7w0or76lrJ0ME_8iGXQK0p1li/view
